horse_id,horse_avg_order_3,horse_avg_order_5,horse_avg_last3f_3,horse_avg_last3f_5,horse_win_rate_dist,horse_win_rate_venue,horse_win_rate_surface
2021103289,13.333333333333334,12.2,34.56666666666667,35.7,0.0,1.0,0.0
2021103291,5.666666666666667,4.4,39.4,37.88,0.0,0.0,0.0
2021103293,9.0,7.0,38.43333333333333,38.125,0.3333333333333333,0.0,0.25
2021103294,10.666666666666666,11.2,41.2,41.24,0.0,0.0,0.0
2021103295,9.333333333333334,9.333333333333334,35.6,35.6,0.0,0.0,0.0
2021103296,,,,,,,
2021103297,13.0,13.0,36.1,36.1,,0.0,0.0
2021103298,12.5,12.5,35.3,35.3,0.0,,0.0
2021103299,4.0,3.2,34.833333333333336,35.06,0.25,1.0,0.1111111111111111
2021103300,2.5,2.5,37.4,37.4,0.0,0.5,0.5
2021103301,8.333333333333334,9.4,39.7,40.0,0.0,0.0,0.0
2021103302,9.5,9.5,42.3,42.3,0.0,0.0,0.0
2021103303,7.333333333333333,6.6,33.733333333333334,33.92,0.1,0.25,0.0769230769230769
2021103304,12.333333333333334,12.5,38.93333333333334,39.45,0.0,0.0,0.0
2021103306,2.333333333333333,2.0,37.93333333333333,37.94,0.25,0.0,0.2857142857142857
2021103309,8.666666666666666,8.666666666666666,35.63333333333333,35.63333333333333,0.0,0.0,0.0
2021103311,9.666666666666666,8.8,38.96666666666667,37.8,0.0,0.0,0.0
2021103312,2.333333333333333,2.6,34.766666666666666,35.28,0.2,0.0,0.1666666666666666
2021103313,7.333333333333333,7.333333333333333,39.46666666666667,39.46666666666667,0.0,0.0,0.0
2021103315,2.0,2.0,38.6,38.6,0.0,,0.0
2021103316,5.0,4.6,38.8,38.9,0.0,0.0,0.0
2021103317,9.333333333333334,7.2,37.86666666666667,38.3,0.0,0.0,0.0
2021103318,5.666666666666667,4.6,37.9,38.6,0.1666666666666666,0.0,0.1666666666666666
2021103320,2.6666666666666665,4.6,39.03333333333333,39.26,0.0,0.0,0.0
2021103321,10.0,10.4,38.2,38.9,0.0,0.0,0.0
2021103322,2.6666666666666665,4.6,35.33333333333333,34.92,0.3333333333333333,1.0,0.2
2021103323,7.666666666666667,5.4,34.93333333333333,34.660000000000004,0.2,0.2,0.3
2021103324,12.0,12.0,42.1,42.1,0.0,0.0,0.0
2021103325,6.0,7.8,35.0,34.94,0.0,0.0,0.1
2021103326,7.666666666666667,7.666666666666667,36.833333333333336,36.833333333333336,0.0,0.0,0.0
2021103327,12.333333333333334,12.5,40.93333333333334,39.45,0.0,0.0,0.0
2021103328,9.333333333333334,9.2,35.766666666666666,36.08,0.0,0.0,0.0
2021103329,12.666666666666666,12.8,38.13333333333333,37.84,0.0,0.0,0.0
2021103330,10.333333333333334,10.333333333333334,38.53333333333333,38.53333333333333,0.0,0.0,0.0
2021103332,7.333333333333333,5.8,36.06666666666667,36.7,0.0,0.0,0.0
2021103333,,,,,,,
2021103334,11.5,11.5,39.0,39.0,0.0,0.0,0.0
2021103335,,,,,,,
2021103336,12.0,12.0,38.1,38.1,0.0,0.0,0.0
2021103337,9.666666666666666,10.75,39.6,39.1,0.0,0.0,0.0
2021103338,8.333333333333334,6.6,33.53333333333333,33.64,0.2,0.1428571428571428,0.1111111111111111
2021103341,9.666666666666666,10.0,37.63333333333333,37.65,0.0,0.0,0.0
2021103342,10.666666666666666,9.6,36.8,37.34,0.125,0.1666666666666666,0.125
2021103343,12.666666666666666,10.8,38.63333333333333,38.64,0.0,0.0,0.0
2021103345,3.6666666666666665,4.6,36.73333333333333,36.54,0.0,0.0,0.0
2021103347,12.5,12.5,34.349999999999994,34.349999999999994,,0.0,0.0
2021103352,10.0,9.25,36.63333333333333,37.400000000000006,0.0,0.0,0.0
2021103354,12.333333333333334,12.333333333333334,39.63333333333333,39.63333333333333,0.0,0.0,0.0
2021103355,13.0,13.0,40.96666666666667,40.96666666666667,0.0,0.0,0.0
2021103357,15.0,15.0,38.8,38.8,0.0,0.0,0.0
2021103359,14.5,14.5,39.55,39.55,0.0,,0.0
2021103362,9.0,9.0,39.900000000000006,39.900000000000006,,0.0,0.0
2021103363,5.333333333333333,6.6,37.1,37.58,0.0,0.0,0.0
2021103366,7.5,7.5,40.5,40.5,0.0,,0.0
2021103368,13.0,13.0,38.1,38.1,0.0,,0.0
2021103370,9.0,8.4,37.833333333333336,38.2,0.0,0.0,0.0
2021103371,7.333333333333333,5.6,40.03333333333333,39.32,0.0,0.0,0.0
2021103372,7.0,7.0,40.2,40.2,0.0,0.0,0.0
2021103376,5.0,4.2,39.73333333333333,39.34,0.1666666666666666,0.0,0.2
2021103378,11.0,11.0,37.1,37.1,,,0.0
2021103379,13.333333333333334,11.25,39.13333333333333,38.325,0.0,0.0,0.0
2021103382,10.333333333333334,10.333333333333334,38.1,38.1,0.0,0.0,0.0
2021103383,9.5,9.5,39.8,39.8,0.0,,0.0
2021103384,,,,,,,
2021103385,5.0,5.0,39.8,39.8,0.0,0.0,0.0
2021103387,12.0,12.0,35.1,35.1,0.0,,
2021103391,12.0,12.25,37.13333333333333,36.975,0.0,0.0,0.0
2021103395,5.666666666666667,8.6,37.2,38.62,0.0,0.0,0.0
2021103399,,,,,,,
2021103406,12.0,10.25,37.46666666666667,37.125,0.0,0.0,0.0
2021103407,,,,,,,
2021103422,2.333333333333333,3.6,34.86666666666667,35.52,0.0,0.0,0.0
2021103423,11.0,8.6,38.7,37.52,0.0,0.0,0.0
2021103426,4.5,4.5,35.55,35.55,0.0,0.0,0.0
2021103428,6.333333333333333,6.333333333333333,37.53333333333333,37.53333333333333,0.0,0.0,0.0
2021103431,,,,,,,
2021103433,,,,,,,
2021103435,10.333333333333334,8.5,39.36666666666667,38.925,0.0,0.3333333333333333,0.25
2021103437,13.333333333333334,13.333333333333334,40.8,40.8,0.0,0.0,0.0
2021103439,6.666666666666667,8.75,37.4,37.575,0.0,0.0,0.0
2021103441,5.5,5.0,37.6,38.15,0.1666666666666666,0.25,0.1428571428571428
2021103442,9.333333333333334,9.8,39.66666666666666,39.36,0.0,0.0,0.0
2021103443,11.0,11.0,36.2,36.2,0.0,,
